"V1","V2"
"SUM_SEXA_O_15","0.80550918196995"
"SUM_SEXA_O_16","0.870617696160267"
"SUM_SEXA_O_17","0.873121869782972"
"SUM_WITS_2","1"
"SUM_WITS_3","0.880634390651085"
"SUM_WITS_4","0.560100166944908"
"SUM_WITS_5","0.309682804674457"
"SUM_WITS_6","0.0684474123539232"
"SUM_WITS_7","0.011686143572621"
"SUM_WITS_8","0.25542570951586"
"SUM_WITS_9","0.588480801335559"
"SUM_WITS_10","0.419866444073456"
"SUM_WITS_11","0.625208681135225"
"SUM_WITS_12","0.415692821368948"
"SUM_WITS_13","0.400667779632721"
"SUM_WITS_14","0.258764607679466"
"SUM_WITS_15","0.394824707846411"
"SUM_WITS_16","0.354757929883139"
"SUM_WITS_17","0.363105175292154"
